sample,lat_dd,lon_dd,temp_C,notes
1,30.61451,96.3402,26.1,asphalt1
2,30.61454,96.34023,26.5,asphalt1
3,30.61455,96.34027,25.4,asphalt1
4,30.61458,96.34033,25.1,asphalt1
5,30.61459,96.34029,24.6,asphalt1
6,30.61484,96.34038,23.3,asphalt2
7,30.61486,96.34039,21.4,asphalt2
8,30.61486,96.34041,20.3,asphalt2
9,30.61481,96.34042,21.2,asphalt2
10,30.6148,96.3404,22.2,asphalt2
11,30.61464,96.34057,23.1,asphalt3
12,30.61463,96.3406,22.9,asphalt3
13,30.61463,96.34058,23.9,asphalt3
14,30.61466,96.34059,23.2,asphalt3
15,30.61464,96.34055,23.6,asphalt3
16,30.61435,96.3403,23,asphalt4
17,30.61435,96.34026,22.9,asphalt4
18,30.61435,96.34029,22.5,asphalt4
19,30.61433,96.34029,22.3,asphalt4
20,30.61433,96.34028,23.1,asphalt4
21,30.61459,96.34036,20.7,asphalt5
22,30.61457,96.34035,22.3,asphalt5
23,30.6146,96.34035,22.1,asphalt5
24,30.6146,96.34035,22.1,asphalt5
25,30.61459,96.34036,20.1,asphalt5
26,30.61445,96.3402,23.5,asphalt6
27,30.6144,96.34045,23.4,asphalt6
28,30.61435,96.34035,23.1,asphalt6
29,30.61437,96.34035,23.8,asphalt6
30,30.61435,96.34033,21.9,asphalt6
