"group","lat_dd","lon_dd","temp_C","notes"
"041224",30.61583333,-96.34027778,19.7,
"041224",30.61583333,-96.34027778,19.6,
"041224",30.61583333,-96.34027778,20.6,
"041224",30.61583333,-96.34027778,19.6,
"041224",30.61583333,-96.34027778,19.1,
"041224",30.61583333,-96.34027778,20.3,
"041224",30.61583333,-96.34027778,20.6,
"041224",30.61583333,-96.34027778,20.4,
"041224",30.61583333,-96.34027778,16.6,
"041224",30.61583333,-96.34027778,20.2,
"041224",30.61583333,-96.34027778,18.1,
"041224",30.61583333,-96.34027778,17.9,
"041224",30.61583333,-96.34027778,19,
"041224",30.61583333,-96.34027778,19,
"041224",30.61583333,-96.34027778,19.5,
"041224",30.61583333,-96.34027778,20.5,
"041224",30.61583333,-96.34027778,20.4,
"041224",30.61583333,-96.34027778,20,
"041224",30.61583333,-96.34027778,19.4,
"041224",30.61583333,-96.34027778,18.4,
"041224",30.61583333,-96.34027778,19,
"041224",30.61583333,-96.34027778,20.3,
"041224",30.61583333,-96.34027778,19.8,
"041224",30.61583333,-96.34027778,19.5,
"041224",30.61583333,-96.34027778,19.6,
"041224",30.61583333,-96.34027778,19.2,
"041224",30.61583333,-96.34027778,19.6,
"041224",30.61583333,-96.34027778,18.1,
"041224",30.61583333,-96.34027778,18.3,
"041224",30.61583333,-96.34027778,18.5,
"202020",30.6155,-96.3411,24,"rnd grass"
"202020",30.6158,-96.3388,22.8,""
"202020",30.6155,-96.3408,22.6,""
"202020",30.6155,-96.3416,23.3,""
"202020",30.6158,-96.3419,22.6,""
"202020",30.6155,-96.3419,21.7,""
"202020",30.6158,-96.3419,23.1,""
"202020",30.6158,-96.3419,22.9,""
"202020",30.6152,-96.3411,22.2,""
"202020",30.6152,-96.3413,21.9,""
"202020",30.6158,-96.3419,22.3,""
"202020",30.6155,-96.3416,22,""
"202020",30.6158,-96.3419,22.6,""
"202020",30.6155,-96.3419,23.1,""
"202020",30.6158,-96.3419,24.1,""
"202020",30.6158,-96.3419,23.4,""
"202020",30.6158,-96.3422,24.5,""
"202020",30.6158,-96.3419,23.6,""
"202020",30.6158,-96.3419,23.1,""
"202020",30.6158,-96.3416,22.5,""
"202020",30.6158,-96.3419,24.2,"clu1 grass"
"202020",30.6158,-96.3416,24.2,""
"202020",30.6158,-96.3419,23.6,""
"202020",30.6158,-96.3416,23.1,""
"202020",30.6158,-96.3419,24.6,""
"202020",30.6158,-96.3416,25.5,"clu 2 g"
"202020",30.6155,-96.3413,26.4,""
"202020",30.6155,-96.3413,25.2,""
"202020",30.6155,-96.3413,24.6,""
"202020",30.6155,-96.3413,23.9,""
"202020",30.6141,-96.3408,25.3,"clu 3 g"
"202020",30.6141,-96.3408,25.1,""
"202020",30.6158,-96.3419,24.8,""
"202020",30.6158,-96.3419,24.8,""
"202020",30.6158,-96.3419,25.3,""
"202020",30.6158,-96.3402,27.7,"clu4 g"
"202020",30.6158,-96.3402,26,""
"202020",30.6158,-96.3408,25.9,""
"202020",30.6152,-96.3408,24.9,""
"202020",30.6158,-96.3405,26.3,""
"499135",30.6153491,-96.3406932,20.4,
"499135",30.6153205,-96.3407632,21.8,
"499135",30.6152553,-96.3408444,21.3,
"499135",30.6152005,-96.3409279,20.8,
"499135",30.6151653,-96.3409671,21,
"499135",30.6151453,-96.3409999,20.2,
"499135",30.6151107,-96.3410482,21.1,
"499135",30.6150536,-96.3411216,21.2,
"499135",30.6150493,-96.3411438,21.4,
"499135",30.614989,-96.3412346,22.1,
"499135",30.6149442,-96.3413084,22,
"499135",30.6149408,-96.341358,20.8,
"499135",30.6149263,-96.3413842,21.4,
"499135",30.6149763,-96.3414157,21.3,
"499135",30.6149965,-96.3414519,20.5,
"499135",30.6150464,-96.3415129,21.2,
"499135",30.6150767,-96.3414945,21.3,
"499135",30.6151041,-96.3414707,22.3,
"499135",30.6151194,-96.3413872,21.5,
"499135",30.6151788,-96.3413624,22.1,
"499135",30.615225,-96.3413037,21.7,
"499135",30.6152541,-96.3412635,22.7,
"499135",30.6152815,-96.3412299,21.5,
"499135",30.6153505,-96.3411247,21.3,
"499135",30.6153753,-96.341062,21.7,
"499135",30.6154131,-96.3410358,21.3,
"499135",30.6154172,-96.3409818,20.2,
"499135",30.6154111,-96.3408943,18.9,
"499135",30.6153958,-96.340835,19,
"499135",30.6153796,-96.3407612,19.6,
"646260",30.61502,-96.3415,19.3,
"646260",30.61496,-96.34121,20,
"646260",30.61495,-96.34117,19.3,
"646260",30.61491,-96.34102,20,
"646260",30.61509,-96.34096,19.2,
"646260",30.61511,-96.34084,19.3,
"646260",30.61517,-96.34077,20,
"646260",30.61522,-96.34073,20.3,
"646260",30.61528,-96.34081,20.3,
"646260",30.61542,-96.3409,18.8,
"646260",30.61566,-96.34122,19.9,
"646260",30.61575,-96.34132,19.8,
"646260",30.61572,-96.34139,18.8,
"646260",30.61557,-96.34152,19.6,
"646260",30.61554,-96.34156,19.4,
"646260",30.61555,-96.34164,18.8,
"646260",30.61549,-96.34169,19.1,
"646260",30.61547,-96.34175,18.2,
"646260",30.6155,-96.34181,18.8,
"646260",30.61555,-96.34189,18.7,
"646260",30.6156,-96.34193,18.7,
"646260",30.61552,-96.34203,18.5,
"646260",30.61547,-96.34199,18.8,
"646260",30.61544,-96.34196,16.6,
"646260",30.61538,-96.3419,17.5,
"646260",30.61533,-96.34186,18.5,
"646260",30.61535,-96.34177,18,
"646260",30.61529,-96.34166,18.3,
"646260",30.61527,-96.34162,18.7,
"646260",30.61523,-96.34144,18.2,
"000732",30.61537,-96.340731,17.9,
"000732",30.615366,-96.340739,17.9,
"000732",30.615362,-96.340748,17.9,
"000732",30.615357,-96.340757,17.9,
"000732",30.615351,-96.340774,17.8,
"000732",30.61535,-96.34079,17.7,
"000732",30.615338,-96.340791,17.9,
"000732",30.615336,-96.340805,17.9,
"000732",30.615336,-96.340816,17.8,
"000732",30.615334,-96.340835,17.9,
"000732",30.615334,-96.340849,17.9,
"000732",30.615332,-96.34086,17.9,
"000732",30.615314,-96.340893,17.9,
"000732",30.615305,-96.340912,18,
"000732",30.615289,-96.340921,18,
"000732",30.615271,-96.340935,17.9,
"000732",30.615259,-96.340944,17.9,
"000732",30.615248,-96.340968,17.9,
"000732",30.615236,-96.340982,18,
"000732",30.615243,-96.34101,18,
"000732",30.615231,-96.341022,17.9,
"000732",30.615219,-96.341034,17.9,
"000732",30.615203,-96.341048,17.9,
"000732",30.615198,-96.341059,17.9,
"000732",30.615189,-96.341065,17.9,
"000732",30.615175,-96.341111,17.9,
"000732",30.615168,-96.341119,18,
"000732",30.615163,-96.34113,18,
"000732",30.615161,-96.341152,18.1,
"000732",30.615152,-96.341183,17.9,
"654321",30.61505,-96.340947,22.4,
"654321",30.615071,-96.340952,22.3,
"654321",30.61508,-96.340936,21.7,
"654321",30.615083,-96.340905,21.4,
"654321",30.615119,-96.340907,21.7,
"654321",30.615155,-96.340867,21.4,
"654321",30.615164,-96.340848,21.8,
"654321",30.61516,-96.340847,21.7,
"654321",30.615174,-96.340832,21.3,
"654321",30.615164,-96.340837,21.3,
"654321",30.615217,-96.340761,21.1,
"654321",30.615215,-96.340732,21.1,
"654321",30.615202,-96.340702,21.4,
"654321",30.61523,-96.340689,21.4,
"654321",30.615211,-96.340694,21.4,
"654321",30.615229,-96.340727,21.5,
"654321",30.615254,-96.340706,20.7,
"654321",30.615255,-96.340695,21.4,
"654321",30.615259,-96.340666,21.4,
"654321",30.61529,-96.340669,21.5,
"654321",30.61565,-96.341253,21.3,
"654321",30.615665,-96.341279,21.7,
"654321",30.615671,-96.341308,21,
"654321",30.615679,-96.341289,20.9,
"654321",30.615668,-96.341328,20.7,
"654321",30.615671,-96.341362,21.1,
"654321",30.615705,-96.341377,21.7,
"654321",30.61571,-96.341384,20.8,
"654321",30.615722,-96.341394,21.3,
"654321",30.615704,-96.341427,20.7,
"172543",30.6147515,-96.3407411,20.6,
"172543",30.6148355,-96.3408179,21.2,
"172543",30.61486,-96.3408427,21.2,
"172543",30.6148121,-96.3411149,21.8,
"172543",30.614759,-96.3411763,21.9,
"172543",30.6147904,-96.3411833,21.2,
"172543",30.6150695,-96.3411713,23.2,
"172543",30.615124,-96.3412521,21.8,
"172543",30.6151742,-96.3411639,22.2,
"172543",30.6153395,-96.3412705,22.6,
"172543",30.61542,-96.3414764,21.9,
"172543",30.6154627,-96.3415699,21.4,
"172543",30.6153704,-96.3416695,21.1,
"172543",30.6153,-96.3416567,21.4,
"172543",30.6153257,-96.3418753,21.2,
"172543",30.6154402,-96.3418321,20.4,
"172543",30.615427,-96.3419458,20.8,
"172543",30.6155591,-96.3420849,20.6,
"172543",30.6156803,-96.3420369,22,
"172543",30.615807,-96.341995,21.7,
"172543",30.6159518,-96.3418512,21.3,
"172543",30.6158191,-96.3417211,21.7,
"172543",30.6156315,-96.3415478,21.2,
"172543",30.6156503,-96.3412722,21,
"172543",30.6155663,-96.3411971,21.5,
"172543",30.6157524,-96.3410311,21.6,
"172543",30.615588,-96.3408219,20,
"172543",30.6154076,-96.3409232,21.8,
"172543",30.6153283,-96.3408296,21.4,
"172543",30.6151996,-96.340766,21,
"123456",30.6147,-96.3407,20.8,"This data collection was recorded on 02/05/18"
"123456",30.6149,-96.3408,20.1,"Grassy areas were damp and cool"
"123456",30.6149,-96.3411,20.7,""
"123456",30.6151,-96.3411,20.9,""
"123456",30.6152,-96.3412,20.8,""
"123456",30.6153,-96.3413,21.3,""
"123456",30.6155,-96.3414,20.9,""
"123456",30.6156,-96.3416,22,""
"123456",30.6157,-96.3416,21.3,""
"123456",30.6158,-96.3417,21.2,""
"123456",30.6158,-96.3419,21.4,""
"123456",30.6157,-96.3421,22.1,""
"123456",30.6156,-96.3421,21.4,""
"123456",30.6156,-96.3421,22,""
"123456",30.6155,-96.342,20.7,""
"123456",30.6154,-96.3419,20.8,""
"123456",30.6153,-96.3419,19,""
"123456",30.615,-96.3415,20.8,""
"123456",30.615,-96.3415,20.8,""
"123456",30.6148,-96.3414,19.9,""
"123456",30.6153,-96.3407,21.4,""
"123456",30.6154,-96.3408,20.8,""
"123456",30.6154,-96.3409,20.5,""
"123456",30.6155,-96.3411,22.6,""
"123456",30.6157,-96.3411,21.6,""
"123456",30.6157,-96.3412,20.9,""
"123456",30.6158,-96.3412,20.6,""
"123456",30.6159,-96.3412,21,""
"123456",30.6159,-96.3412,21.2,""
"123456",30.616,-96.3413,20.7,""
"908647",30.61482,-96.34095,21.3,"grass1"
"908647",30.61484,-96.34094,21.7,"grass1"
"908647",30.61484,-96.34094,22.3,"grass1"
"908647",30.61485,-96.34097,22.7,"grass1"
"908647",30.61486,-96.34098,22.5,"grass1"
"908647",30.61467,-96.34103,22.6,"grass2"
"908647",30.61468,-96.34105,21.8,"grass2"
"908647",30.61466,-96.34106,21.6,"grass2"
"908647",30.61471,-96.34107,22.7,"grass2"
"908647",30.61472,-96.34105,22.2,"grass2"
"908647",30.61484,-96.34105,21.5,"grass3"
"908647",30.61488,-96.34109,21.1,"grass3"
"908647",30.6149,-96.3411,21.2,"grass3"
"908647",30.61495,-96.34105,20.2,"grass3"
"908647",30.61493,-96.34124,21.2,"grass3"
"908647",30.61489,-96.34126,20.2,"grass4"
"908647",30.61489,-96.34132,20.8,"grass4"
"908647",30.61487,-96.34127,20.7,"grass4"
"908647",30.61483,-96.34134,21,"grass4"
"908647",30.61486,-96.34131,21.3,"grass4"
"908647",30.61493,-96.34145,20.8,"grass5"
"908647",30.61478,-96.34156,20.7,"grass5"
"908647",30.61481,-96.34142,20.8,"grass5"
"908647",30.61485,-96.34147,20.6,"grass5"
"908647",30.61502,-96.34138,20.3,"grass5"
"908647",30.61506,-96.34114,23.7,"grass6"
"908647",30.61508,-96.34115,23.3,"grass6"
"908647",30.61506,-96.34116,22.7,"grass6"
"908647",30.61505,-96.34114,23,"grass6"
"908647",30.61503,-96.34115,22.4,"grass6"
"541997",30.6152,-96.34074,21.3,
"541997",30.61521,-96.34077,21.4,
"541997",30.61514,-96.34079,21.3,
"541997",30.61517,-96.34085,21.5,
"541997",30.61513,-96.34083,21.8,
"541997",30.61513,-96.34084,20.1,
"541997",30.61511,-96.34091,20.2,
"541997",30.61509,-96.34095,20.8,
"541997",30.61502,-96.34097,20.5,
"541997",30.61499,-96.34103,21.1,
"541997",30.61498,-96.34104,20.7,
"541997",30.61499,-96.34106,20.8,
"541997",30.61498,-96.34103,20.1,
"541997",30.61494,-96.34123,20.2,
"541997",30.61492,-96.34113,20.7,
"541997",30.61497,-96.32124,21.3,
