sample,lat_dd,lon_dd,temp_C,notes
1,30.61502,-96.3415,19.3,
2,30.61496,-96.34121,20,
3,30.61495,-96.34117,19.3,
4,30.61491,-96.34102,20,
5,30.61509,-96.34096,19.2,
6,30.61511,-96.34084,19.3,
7,30.61517,-96.34077,20,
8,30.61522,-96.34073,20.3,
9,30.61528,-96.34081,20.3,
10,30.61542,-96.3409,18.8,
11,30.61566,-96.34122,19.9,
12,30.61575,-96.34132,19.8,
13,30.61572,-96.34139,18.8,
14,30.61557,-96.34152,19.6,
15,30.61554,-96.34156,19.4,
16,30.61555,-96.34164,18.8,
17,30.61549,-96.34169,19.1,
18,30.61547,-96.34175,18.2,
19,30.6155,-96.34181,18.8,
20,30.61555,-96.34189,18.7,
21,30.6156,-96.34193,18.7,
22,30.61552,-96.34203,18.5,
23,30.61547,-96.34199,18.8,
24,30.61544,-96.34196,16.6,
25,30.61538,-96.3419,17.5,
26,30.61533,-96.34186,18.5,
27,30.61535,-96.34177,18,
28,30.61529,-96.34166,18.3,
29,30.61527,-96.34162,18.7,
30,30.61523,-96.34144,18.2,
