sample,lat_dd,lon_dd,temp_C,notes
1,30.61468,-96.33952,24.4,
2,30.61451,-96.34019,25,
3,30.61454,-96.34024,24.7,
4,30.61458,-96.34029,23.4,
5,30.61464,-96.34032,24.2,
6,30.61468,-96.34037,23.4,
7,30.61472,-96.34041,23.4,
8,30.61474,-96.34045,22.8,
9,30.6147,-96.34052,26,
10,30.61468,-96.34055,25.5,
11,30.61461,-96.34052,26.9,
12,30.61455,-96.34048,26.6,
13,30.6145,-96.34044,26.8,
14,30.61447,-96.34039,26.3,
15,30.61442,-96.34035,25.9,
16,30.61438,-96.3403,25.3,
17,30.61433,-96.34027,24.6,
18,30.61433,-96.34023,24,
19,30.61439,-96.34018,25.2,
20,30.6144,-96.34012,24.7,
21,30.61456,-96.34016,22.6,
22,30.61478,-96.34033,22.3,
23,30.61467,-96.34048,24.4,
24,30.61468,-96.34064,22.7,
25,30.6146,-96.34061,21.8,
26,30.61452,-96.34056,22.6,
27,30.61446,-96.34049,22.3,
28,30.61441,-96.34043,22.2,
29,30.61439,-96.34039,22.7,
30,30.6144,-96.34028,24.2,
