Sample,lat_dd,lon_dd,temp_c,notes
1,30.61469,-96.34044,23.7,
2,30.61464,-96.34042,23.6,
3,30.61465,-96.34047,23.7,
4,30.61465,-96.34048,23.8,
5,30.61465,-96.34049,23.7,
6,30.61464,-96.34052,23.6,
7,30.61464,-96.34052,23.1,
8,30.61464,-96.34053,23,
9,30.61464,-96.34055,23.1,
10,30.61465,-96.34055,23.2,
11,30.61464,-96.34055,23.1,
12,30.61463,-96.34055,23,
13,30.61463,-96.34054,23.1,
14,30.61465,-96.3405,23,
15,30.61463,-96.34051,22.7,
16,30.61462,-96.34052,22.1,
17,30.61461,-96.34056,21.7,
18,30.61461,-96.34055,21.3,
19,30.61461,-96.34056,21.2,
20,30.61461,-96.34058,21.2,
21,30.6146,-96.34058,21.1,
22,30.61459,-96.34059,21,
23,30.61458,-96.3406,21.2,
24,30.61458,-96.34061,20.6,
25,30.6146,-96.34061,21.7,
26,30.61461,-96.3406,21.3,
27,30.61461,-96.34056,21.3,
28,30.61461,-96.36059,21.1,
29,30.61462,-96.34055,21.7,
30,30.61463,-96.34056,22,
