Sample,lat_dd,lon_dd,temp_c,notes
1,30.61587,-96.34178,22.6,
2,30.61586,-96.34174,23,
3,30.61583,-96.3417,22.8,
4,30.61581,-96.34165,22.8,
5,30.61582,-96.34164,22.7,
6,30.6158,-96.34161,23.3,
7,30.61577,-96.34158,22.6,
8,30.61573,-96.34155,22.5,
9,30.61571,-96.34153,21.6,
10,30.61569,-96.34151,21.8,
11,30.61566,-96.3415,22,
12,30.61562,-96.34149,21.4,
13,30.61561,-96.34147,21.5,
14,30.61563,-96.34145,21.3,
15,30.61561,-96.34143,21,
16,30.61559,-96.34141,20.9,
17,30.61555,-96.34137,21.2,
18,30.61553,-96.34134,22.4,
19,30.61552,-96.34133,22.2,
20,30.6155,-96.34131,22.8,
21,30.61547,-96.34129,23.2,
22,30.61545,-96.34127,22.7,
23,30.61542,-96.34125,21.9,
24,30.61537,-96.34119,21.6,
25,30.61535,-96.34118,21.7,
26,30.61534,-96.34117,21.8,
27,30.61532,-96.34116,22.6,
28,30.61528,-96.34112,23.2,
29,30.61529,-96.34112,23.3,
30,30.61527,-96.34109,23.3,
