"group","lat_dd","lon_dd","temp_C","notes"
123456,30.6147,-96.3407,20.8,"This data collection was recorded on 02/05/18"
123456,30.6149,-96.3408,20.1,"Grassy areas were damp and cool"
123456,30.6149,-96.3411,20.7,""
123456,30.6151,-96.3411,20.9,""
123456,30.6152,-96.3412,20.8,""
123456,30.6153,-96.3413,21.3,""
123456,30.6155,-96.3414,20.9,""
123456,30.6156,-96.3416,22,""
123456,30.6157,-96.3416,21.3,""
123456,30.6158,-96.3417,21.2,""
123456,30.6158,-96.3419,21.4,""
123456,30.6157,-96.3421,22.1,""
123456,30.6156,-96.3421,21.4,""
123456,30.6156,-96.3421,22,""
123456,30.6155,-96.342,20.7,""
123456,30.6154,-96.3419,20.8,""
123456,30.6153,-96.3419,19,""
123456,30.615,-96.3415,20.8,""
123456,30.615,-96.3415,20.8,""
123456,30.6148,-96.3414,19.9,""
123456,30.6153,-96.3407,21.4,""
123456,30.6154,-96.3408,20.8,""
123456,30.6154,-96.3409,20.5,""
123456,30.6155,-96.3411,22.6,""
123456,30.6157,-96.3411,21.6,""
123456,30.6157,-96.3412,20.9,""
123456,30.6158,-96.3412,20.6,""
123456,30.6159,-96.3412,21,""
123456,30.6159,-96.3412,21.2,""
123456,30.616,-96.3413,20.7,""
172543,30.6147515,-96.3407411,20.6,""
172543,30.6148355,-96.3408179,21.2,""
172543,30.61486,-96.3408427,21.2,""
172543,30.6148121,-96.3411149,21.8,""
172543,30.614759,-96.3411763,21.9,""
172543,30.6147904,-96.3411833,21.2,""
172543,30.6150695,-96.3411713,23.2,""
172543,30.615124,-96.3412521,21.8,""
172543,30.6151742,-96.3411639,22.2,""
172543,30.6153395,-96.3412705,22.6,""
172543,30.61542,-96.3414764,21.9,""
172543,30.6154627,-96.3415699,21.4,""
172543,30.6153704,-96.3416695,21.1,""
172543,30.6153,-96.3416567,21.4,""
172543,30.6153257,-96.3418753,21.2,""
172543,30.6154402,-96.3418321,20.4,""
172543,30.615427,-96.3419458,20.8,""
172543,30.6155591,-96.3420849,20.6,""
172543,30.6156803,-96.3420369,22,""
172543,30.615807,-96.341995,21.7,""
172543,30.6159518,-96.3418512,21.3,""
172543,30.6158191,-96.3417211,21.7,""
172543,30.6156315,-96.3415478,21.2,""
172543,30.6156503,-96.3412722,21,""
172543,30.6155663,-96.3411971,21.5,""
172543,30.6157524,-96.3410311,21.6,""
172543,30.615588,-96.3408219,20,""
172543,30.6154076,-96.3409232,21.8,""
172543,30.6153283,-96.3408296,21.4,""
172543,30.6151996,-96.340766,21,""
499135,30.6153491,-96.3406932,20.4,""
499135,30.6153205,-96.3407632,21.8,""
499135,30.6152553,-96.3408444,21.3,""
499135,30.6152005,-96.3409279,20.8,""
499135,30.6151653,-96.3409671,21,""
499135,30.6151453,-96.3409999,20.2,""
499135,30.6151107,-96.3410482,21.1,""
499135,30.6150536,-96.3411216,21.2,""
499135,30.6150493,-96.3411438,21.4,""
499135,30.614989,-96.3412346,22.1,""
499135,30.6149442,-96.3413084,22,""
499135,30.6149408,-96.341358,20.8,""
499135,30.6149263,-96.3413842,21.4,""
499135,30.6149763,-96.3414157,21.3,""
499135,30.6149965,-96.3414519,20.5,""
499135,30.6150464,-96.3415129,21.2,""
499135,30.6150767,-96.3414945,21.3,""
499135,30.6151041,-96.3414707,22.3,""
499135,30.6151194,-96.3413872,21.5,""
499135,30.6151788,-96.3413624,22.1,""
499135,30.615225,-96.3413037,21.7,""
499135,30.6152541,-96.3412635,22.7,""
499135,30.6152815,-96.3412299,21.5,""
499135,30.6153505,-96.3411247,21.3,""
499135,30.6153753,-96.341062,21.7,""
499135,30.6154131,-96.3410358,21.3,""
499135,30.6154172,-96.3409818,20.2,""
499135,30.6154111,-96.3408943,18.9,""
499135,30.6153958,-96.340835,19,""
499135,30.6153796,-96.3407612,19.6,""
541997,30.6152,-96.34074,21.3,""
541997,30.61521,-96.34077,21.4,""
541997,30.61514,-96.34079,21.3,""
541997,30.61517,-96.34085,21.5,""
541997,30.61513,-96.34083,21.8,""
541997,30.61513,-96.34084,20.1,""
541997,30.61511,-96.34091,20.2,""
541997,30.61509,-96.34095,20.8,""
541997,30.61502,-96.34097,20.5,""
541997,30.61499,-96.34103,21.1,""
541997,30.61498,-96.34104,20.7,""
541997,30.61499,-96.34106,20.8,""
541997,30.61498,-96.34103,20.1,""
541997,30.61494,-96.34123,20.2,""
541997,30.61492,-96.34113,20.7,""
541997,30.61497,-96.32124,21.3,""
541997,30.61503,-96.34117,21.4,""
541997,30.61504,-96.34115,21,""
541997,30.61505,-96.34113,21.1,""
541997,30.61506,-96.34111,21.1,""
541997,30.61512,-96.3411,21.5,""
541997,30.6151,-96.34104,20.7,""
541997,30.61515,-96.34105,20.7,""
541997,30.61521,-96.341,21.1,""
541997,30.61517,-96.34096,21,""
541997,30.61518,-96.34095,21.4,""
541997,30.61521,-96.34093,21,""
541997,30.61525,-96.34091,21.3,""
541997,30.61524,-96.34089,21.4,""
541997,30.61527,-96.34082,20.5,""
654321,30.61505,-96.340947,22.4,""
654321,30.615071,-96.340952,22.3,""
654321,30.61508,-96.340936,21.7,""
654321,30.615083,-96.340905,21.4,""
654321,30.615119,-96.340907,21.7,""
654321,30.615155,-96.340867,21.4,""
654321,30.615164,-96.340848,21.8,""
654321,30.61516,-96.340847,21.7,""
654321,30.615174,-96.340832,21.3,""
654321,30.615164,-96.340837,21.3,""
654321,30.615217,-96.340761,21.1,""
654321,30.615215,-96.340732,21.1,""
654321,30.615202,-96.340702,21.4,""
654321,30.61523,-96.340689,21.4,""
654321,30.615211,-96.340694,21.4,""
654321,30.615229,-96.340727,21.5,""
654321,30.615254,-96.340706,20.7,""
654321,30.615255,-96.340695,21.4,""
654321,30.615259,-96.340666,21.4,""
654321,30.61529,-96.340669,21.5,""
654321,30.61565,-96.341253,21.3,""
654321,30.615665,-96.341279,21.7,""
654321,30.615671,-96.341308,21,""
654321,30.615679,-96.341289,20.9,""
654321,30.615668,-96.341328,20.7,""
654321,30.615671,-96.341362,21.1,""
654321,30.615705,-96.341377,21.7,""
654321,30.61571,-96.341384,20.8,""
654321,30.615722,-96.341394,21.3,""
654321,30.615704,-96.341427,20.7,""
908647,30.61482,-96.34095,21.3,"grass1"
908647,30.61484,-96.34094,21.7,"grass1"
908647,30.61484,-96.34094,22.3,"grass1"
908647,30.61485,-96.34097,22.7,"grass1"
908647,30.61486,-96.34098,22.5,"grass1"
908647,30.61467,-96.34103,22.6,"grass2"
908647,30.61468,-96.34105,21.8,"grass2"
908647,30.61466,-96.34106,21.6,"grass2"
908647,30.61471,-96.34107,22.7,"grass2"
908647,30.61472,-96.34105,22.2,"grass2"
908647,30.61484,-96.34105,21.5,"grass3"
908647,30.61488,-96.34109,21.1,"grass3"
908647,30.6149,-96.3411,21.2,"grass3"
908647,30.61495,-96.34105,20.2,"grass3"
908647,30.61493,-96.34124,21.2,"grass3"
908647,30.61489,-96.34126,20.2,"grass4"
908647,30.61489,-96.34132,20.8,"grass4"
908647,30.61487,-96.34127,20.7,"grass4"
