"group","lat_dd","lon_dd","temp_C","notes"
150967,30.6146,-96.34049,24.6,""
150967,30.61454,-96.34048,24,""
150967,30.6145,-96.34044,23.4,""
150967,30.61448,-96.34042,22.4,"shaded by building"
150967,30.61444,-96.34041,21.8,"shaded by building"
150967,30.6144,-96.34036,22.7,"shaded by building"
150967,30.61436,-96.34033,23.6,"shaded by building"
150967,30.61433,-96.34028,22.1,"shaded by building"
150967,30.61438,-96.34026,22,"shaded by building"
150967,30.61441,-96.34029,23,"shaded by building"
150967,30.61446,-96.34033,24,""
150967,30.61451,-96.34036,23.9,""
150967,30.61454,-96.34039,24,""
150967,30.61458,-96.34042,24.7,""
150967,30.61462,-96.34045,24.2,""
150967,30.61471,-96.34047,24.3,""
150967,30.61476,-96.34034,23.6,""
150967,30.61472,-96.34029,23.9,""
150967,30.61468,-96.34028,24.3,""
150967,30.61464,-96.34024,24,""
150967,30.61461,-96.3402,24.3,""
150967,30.61454,-96.34017,23.6,""
150967,30.61442,-96.34013,23.1,""
150967,30.61445,-96.34017,23.9,""
150967,30.61451,-96.34021,23.4,""
150967,30.61454,-96.34025,23.7,""
150967,30.61459,-96.34028,23.6,""
150967,30.61464,-96.34032,24,""
150967,30.61467,-96.34035,22.7,"shaded by building"
150967,30.61468,-96.340063,22.6,"shaded by building"
172543,30.6147544,-96.3403757,25,""
172543,30.6147073,-96.3403669,26,""
172543,30.6146543,-96.3403189,25.7,""
172543,30.6146251,-96.3402905,25.6,""
172543,30.6145913,-96.3402466,25.2,""
172543,30.6145437,-96.3402161,25.2,""
172543,30.6144924,-96.3401772,24.6,""
172543,30.6144543,-96.340146,23.7,""
172543,30.6144254,-96.3401151,23,""
172543,30.6144067,-96.3400888,23,""
172543,30.6143969,-96.3401356,23.3,""
172543,30.6143885,-96.3401909,23.1,""
172543,30.614342,-96.3402496,23,""
172543,30.6143184,-96.3402707,22.2,""
172543,30.6143227,-96.3402912,21.8,""
172543,30.6143836,-96.3403234,23.8,""
172543,30.6143897,-96.3403411,23.7,""
172543,30.6144251,-96.3403572,23.8,""
172543,30.6144407,-96.340372,23.6,""
172543,30.6144863,-96.3404145,23.6,""
172543,30.6145293,-96.34049,23.9,""
172543,30.6145634,-96.3404846,23.9,""
172543,30.6145931,-96.345212,23.6,""
172543,30.6146231,-96.3405654,24,""
172543,30.6146439,-96.3405926,23.1,""
172543,30.6146609,-96.3405466,23.4,""
172543,30.6146843,-96.340497,23.4,""
172543,30.6147134,-96.340443,23.2,""
172543,30.6147622,-96.3404367,20.6,""
172543,20.6147477,-96.3404102,22.2,""
499135,30.6147324,-96.340328,23.6,""
499135,30.6146782,-96.3402824,23.6,""
499135,30.6146303,-96.3402405,23.6,""
499135,30.6145703,-96.3401892,22.8,""
