"group","lat_dd","lon_dd","temp_C","notes"
41224,30.61583333,-96.34027778,21,""
41224,30.61583333,-96.34027778,21.3,""
41224,30.61583333,-96.34027778,21.5,""
41224,30.61583333,-96.34027778,21.8,""
41224,30.61583333,-96.34027778,21.1,""
41224,30.61583333,-96.34027778,20.9,""
41224,30.61583333,-96.34027778,21,""
41224,30.61583333,-96.34027778,20.4,""
41224,30.61583333,-96.34027778,19.9,""
41224,30.61583333,-96.34027778,21,""
41224,30.61583333,-96.34027778,21.1,""
41224,30.61583333,-96.34027778,21.5,""
41224,30.61583333,-96.34027778,21.8,""
41224,30.61583333,-96.34027778,21.5,""
41224,30.61583333,-96.34027778,22.1,""
41224,30.61583333,-96.34027778,21.8,""
41224,30.61583333,-96.34027778,21.8,""
41224,30.61583333,-96.34027778,22.2,""
41224,30.61583333,-96.34027778,21.9,""
41224,30.61583333,-96.34027778,21.8,""
41224,30.61583333,-96.34027778,22.4,""
41224,30.61583333,-96.34027778,22.6,""
41224,30.61583333,-96.34027778,22.2,""
41224,30.61583333,-96.34027778,22.2,""
41224,30.61583333,-96.34027778,21.3,""
41224,30.61583333,-96.34027778,21.9,""
41224,30.61583333,-96.34027778,22.2,""
41224,30.61583333,-96.34027778,21.7,""
41224,30.61583333,-96.34027778,21.9,""
41224,30.61583333,-96.34027778,22.4,""
150967,30.61556,-96.34156,23.1,"smooth"
150967,30.61557,-96.34164,22.4,"smooth/shady"
150967,30.61559,-96.3417,23.3,"smooth"
150967,30.61563,-96.34177,23.1,"smooth"
150967,30.61562,-96.34154,22.6,"smooth"
150967,30.61564,-96.34153,23.1,"smooth"
150967,30.61575,-96.34205,23.6,"smooth"
150967,30.61575,-96.34157,23.4,"smooth"
150967,30.61586,-96.34189,23.1,"smooth"
150967,30.6158,-96.34164,24.6,"smooth"
150967,30.61563,-96.34148,24,"smooth"
150967,30.61547,-96.34132,22.6,"rough"
150967,30.61542,-96.34135,22.6,"rough/shady"
150967,30.61537,-96.34135,22.8,"rough/shady"
150967,30.61535,-96.34162,22.8,"rough/shady"
150967,30.61533,-96.34148,23,"rough/shady"
150967,30.61527,-96.34151,22.7,"rough/shady"
150967,30.61524,-96.34157,22.6,"rough/shady"
150967,30.61554,-96.34126,23.1,"rough"
150967,30.61558,-96.3412,22.1,"rough"
150967,30.61567,-96.34117,23.1,"rough"
150967,30.61558,-96.34108,23.3,"rough"
150967,30.61552,-96.34097,20.8,"shady/smooth"
150967,30.61548,-96.34104,23.1,"smooth"
150967,30.61542,-96.34109,23.3,"smooth"
150967,30.61545,-96.34116,22.4,"smooth"
150967,30.61526,-96.34119,24.4,"smooth"
150967,30.61517,-96.34121,22.8,"smooth"
150967,30.61505,-96.34123,22,"smooth/shady"
