"id","lat_dd","lon_dd"
1,30.6157516,-96.341204
2,30.6158797,-96.34121
3,30.615983,-96.341172
4,30.6161541,-96.34129
5,30.6160188,-96.341571
6,30.6159426,-96.341702
7,30.6158552,-96.341743
8,30.6159383,-96.341813
9,30.6159414,-96.341964
10,30.6159472,-96.3421
11,30.6159362,-96.342236
12,30.615865,-96.341887
13,30.6158078,-96.341956
14,30.6157426,-96.342029
15,30.6156731,-96.342163
16,30.6156018,-96.341935
17,30.6155888,-96.341776
18,30.6155565,-96.341625
19,30.6155909,-96.341476
20,30.6156823,-96.341567
21,30.6157755,-96.341646
22,30.6155404,-96.341389
23,30.6155998,-96.341298
24,30.6156679,-96.34121
25,30.6157504,-96.341206
26,30.6158904,-96.341227
27,30.6154763,-96.341378
28,30.6154021,-96.341482
29,30.6152948,-96.341586
30,30.6151107,-96.341898
31,30.6149725,-96.34211
32,30.6148317,-96.342254
33,30.6152559,-96.341905
34,30.6152613,-96.341879
35,30.6153473,-96.34201
36,30.6153926,-96.342041
37,30.615472,-96.342136
38,30.6155202,-96.34208
39,30.6154333,-96.342352
40,30.6150943,-96.342466
41,30.6150542,-96.342504
42,30.6150371,-96.342473
43,30.6156843,-96.342323
44,30.6156953,-96.342266
45,30.6157775,-96.342416
46,30.6158093,-96.342375
47,30.6159619,-96.342581
48,30.615996,-96.342541
49,30.6160459,-96.34268
50,30.6160837,-96.342627
51,30.6161616,-96.342776
52,30.6161847,-96.342734
53,30.6162591,-96.342863
54,30.6163044,-96.34284
55,30.6145146,-96.340697
56,30.6143772,-96.339806
57,30.6142185,-96.340366
58,30.6160043,-96.34053
59,30.6160352,-96.340577
60,30.6160603,-96.340596
61,30.6160895,-96.340631
62,30.6161345,-96.34065
63,30.6161971,-96.341386
64,30.6161498,-96.341452
65,30.6161172,-96.341498
66,30.6163866,-96.343052
67,30.6157622,-96.343111
68,30.6162943,-96.343332
69,30.6141813,-96.340012
70,30.614323,-96.339923
71,30.6144266,-96.339666
72,30.6145449,-96.339508
74,30.6147855,-96.339358
75,30.6149708,-96.33934
76,30.6149754,-96.339885
77,30.6150943,-96.339988
78,30.6148121,-96.340111
79,30.6152406,-96.340025
80,30.6151456,-96.340201
81,30.6148759,-96.340224
82,30.6145411,-96.341299
83,30.6144676,-96.34119
84,30.6143426,-96.341062
85,30.6141698,-96.340906
86,30.6140521,-96.340798
87,30.6139436,-96.340688
89,30.6146961,-96.34018
90,30.6147039,-96.340148
91,30.6146537,-96.340133
92,30.6146592,-96.340142
93,30.6144226,-96.33989
94,30.6143928,-96.339862
95,30.6159002,-96.340454
96,30.6160066,-96.340559
97,30.6164917,-96.341778
98,30.6164302,-96.341884
