"id","lat_dd","lon_dd"
1,30.616554,-96.341832
3,30.616682,-96.342475
4,30.616072,-96.342974
5,30.616022,-96.343153
6,30.614672,-96.34066
7,30.614098,-96.339972
8,30.614278,-96.339968
10,30.615847,-96.343058
11,30.614582,-96.339699
12,30.616362,-96.342096
13,30.616543,-96.342355
14,30.616424,-96.342518
15,30.616562,-96.342804
16,30.614942,-96.341629
17,30.616574,-96.342375
18,30.615904,-96.342695
19,30.614597,-96.342134
20,30.61424,-96.339998
21,30.616627,-96.342422
22,30.616448,-96.342542
23,30.615614,-96.34304
24,30.614768,-96.342262
25,30.616482,-96.342253
26,30.614362,-96.339735
27,30.616353,-96.342127
28,30.616033,-96.343123
29,30.614367,-96.341926
30,30.615218,-96.341083
31,30.61418,-96.340013
32,30.616604,-96.342405
33,30.616657,-96.342451
34,30.616711,-96.342498
35,30.614399,-96.339763
36,30.614608,-96.33966
37,30.614957,-96.34087
38,30.614938,-96.342398
39,30.61456,-96.340628
40,30.61577,-96.343172
41,30.616536,-96.342644
43,30.616435,-96.342526
45,30.615759,-96.34312
46,30.616491,-96.34259
47,30.616995,-96.342078
48,30.614813,-96.340452
49,30.616342,-96.343162
50,30.615097,-96.340717
51,30.61461,-96.342162
53,30.614788,-96.340492
54,30.615155,-96.342493
55,30.616437,-96.34256
56,30.616938,-96.342159
57,30.616958,-96.342
58,30.616608,-96.341748
59,30.614804,-96.340107
60,30.617076,-96.342186
61,30.616853,-96.342498
62,30.614299,-96.341819
63,30.614364,-96.341906
64,30.614523,-96.339532
65,30.61437,-96.339928
66,30.616651,-96.342641
67,30.61464,-96.339374
68,30.616502,-96.342901
69,30.615456,-96.342907
