"id","lat_dd","lon_dd"
1,30.6149096,-96.3399898
2,30.6149869,-96.3401768
3,30.6151938,-96.3403398
4,30.6152576,-96.3401812
5,30.6156517,-96.3402157
7,30.6156171,-96.3399515
8,30.6152934,-96.3397028
9,30.6152308,-96.339911
10,30.6149437,-96.3394459
13,30.6146822,-96.339336
14,30.614596,-96.3394805
15,30.6145671,-96.3396964
16,30.6143037,-96.3398248
17,30.6143507,-96.3399314
18,30.6145163,-96.3401098
19,30.6143066,-96.3402003
20,30.6141986,-96.3404253
21,30.6142385,-96.3404464
22,30.6142757,-96.3404628
23,30.6139115,-96.3405658
24,30.6143296,-96.3409325
25,30.6142869,-96.341006
26,30.614499,-96.3409577
27,30.6145694,-96.3411884
28,30.6146159,-96.3413124
29,30.6146721,-96.3415089
30,30.6149269,-96.3416122
31,30.6150259,-96.3417047
32,30.6151797,-96.3417865
33,30.6152045,-96.3417265
34,30.6152409,-96.3416641
35,30.615158,-96.3415719
36,30.6147457,-96.3412299
37,30.6148343,-96.3409134
38,30.6151774,-96.3405627
39,30.615431,-96.3410046
40,30.6153367,-96.3411669
41,30.6155479,-96.3413513
42,30.6156734,-96.3412108
43,30.6160225,-96.3411716
44,30.6161734,-96.3410774
45,30.6162406,-96.3409134
46,30.6161016,-96.3405289
47,30.6158808,-96.3403223
48,30.61442,-96.3419207
49,30.6149535,-96.3424802
50,30.6153355,-96.3423464
51,30.6153782,-96.3423095
52,30.6153923,-96.3428007
53,30.6155554,-96.3429254
54,30.6157175,-96.3430535
55,30.6161275,-96.3432748
56,30.616142,-96.3432101
57,30.6163812,-96.3431843
58,30.6160987,-96.3427105
59,30.6159097,-96.3426193
60,30.6157568,-96.3423306
61,30.6157051,-96.342214
62,30.6156105,-96.342217
63,30.6154454,-96.3421761
64,30.6153649,-96.3421245
65,30.6154451,-96.3420125
66,30.6153387,-96.3419917
67,30.6159149,-96.3418499
68,30.6159048,-96.3417003
69,30.6160234,-96.3415045
70,30.6165681,-96.3413674
71,30.616685,-96.3415783
72,30.6164732,-96.3415501
73,30.6164824,-96.3415649
74,30.6170056,-96.341868
75,30.6168702,-96.3423602
76,30.6164897,-96.3426347
77,30.616438,-96.3425741
78,30.6162796,-96.3426827
79,30.6164146,-96.3421734
80,30.6162626,-96.3421768
