"date","Q1","Q2"
1976.3306010929,423,178
1976.33333333333,513,198
1976.33606557377,600,245
1976.33879781421,636,288
1976.34153005464,618,285
1976.34426229508,659,320
1976.34699453552,593,330
1976.34972677596,524,334
1976.35245901639,493,250
1976.35519125683,537,232
1976.35792349727,615,283
1976.3606557377,614,291
1976.36338797814,565,262
1976.36612021858,629,284
1976.36885245902,800,313
1976.37158469945,878,307
1976.37431693989,938,269
1976.37704918033,1010,242
1976.37978142077,958,206
1976.3825136612,984,188
1976.38524590164,1030,347
1976.38797814208,929,281
1976.39071038251,796,191
1976.39344262295,671,153
1976.39617486339,610,131
1976.39890710383,569,111
1976.40163934426,637,90
1976.4043715847,806,75
1976.40710382514,883,60
1976.40983606557,923,51
1976.41256830601,879,46
1976.41530054645,989,38
1976.41803278689,1090,32
1976.42076502732,1040,28
1976.42349726776,1130,25
1976.4262295082,1210,20
1976.42896174863,1290,17
1976.43169398907,1100,15
1976.43442622951,1230,15
1976.43715846995,1290,12
1976.43989071038,1260,10
1976.44262295082,1210,8.7
1976.44535519126,1030,6.4
1976.44808743169,876,4.4
1976.45081967213,814,3
1976.45355191257,697,2.7
1976.45628415301,672,3.1
1976.45901639344,675,1.8
1976.46174863388,650,1.7
1976.46448087432,566,1.4
1976.46721311475,593,1.2
1976.46994535519,716,1.6
1976.47267759563,847,2.1
1976.47540983607,893,1.8
1976.4781420765,712,1.3
1976.48087431694,650,1.4
1976.48360655738,640,0.91
1976.48633879781,642,0.74
1976.48907103825,650,0.42
1976.49180327869,643,0.45
1976.49453551913,581,0.49
1976.49726775956,565,1.2
1976.5,573,0.78
1976.50273224044,551,1.2
1976.50546448087,515,1.1
1976.50819672131,481,0.62
1976.51092896175,446,0.51
1976.51366120219,404,0.22
1976.51639344262,388,0.25
1976.51912568306,387,0.26
1976.5218579235,372,0.2
1976.52459016393,365,0.22
1976.52732240437,353,0.26
1976.53005464481,414,0.23
1976.53278688525,360,0.16
1976.53551912568,318,0.15
1976.53825136612,285,0.08
1976.54098360656,261,0.06
1976.54371584699,251,6.9
1976.54644808743,263,7.4
1976.54918032787,269,2.6
1976.55191256831,253,0.53
1976.55464480874,230,0.17
1976.55737704918,216,0.17
1976.56010928962,213,0.17
1976.56284153005,213,0.35
1976.56557377049,228,1.1
1976.56830601093,218,1.4
1976.57103825137,204,1.2
1976.5737704918,196,0.47
1976.57650273224,188,0.36
1976.57923497268,184,0.3
1976.58196721311,208,0.41
1976.58469945355,213,0.48
1976.58743169399,246,0.46
1976.59016393443,250,0.4
1976.59289617486,227,0.32
1976.5956284153,204,0.28
1976.59836065574,191,0.26
1976.60109289617,205,0.26
1976.60382513661,200,0.23
1976.60655737705,201,0.2
1976.60928961749,204,0.21
1976.61202185792,195,0.2
1976.61475409836,182,0.19
