"date","ppm"
2010.0068,388.17
2010.026,388.33
2010.0452,388.33
2010.0644,389.01
2010.0836,390.71
2010.1027,390.35
2010.1219,390.22
2010.1411,389.57
2010.1603,390.93
2010.1795,391.38
2010.1986,391.17
2010.2178,390.29
2010.237,391.77
2010.2562,391.19
2010.2753,392.71
2010.2945,393.3
2010.3137,393.2
2010.3329,393.01
2010.3521,392.6
2010.3712,393.42
2010.3904,392.71
2010.4096,393.3
2010.4288,392.75
2010.4479,391.85
2010.4671,391.64
2010.4863,391.15
2010.5055,390.55
2010.5247,389.85
2010.5438,390.26
2010.563,389.82
2010.5822,388.86
2010.6014,388.82
2010.6205,388.47
2010.6397,387.62
2010.6589,387.53
2010.6781,386.14
2010.6973,387.06
2010.7164,386.78
2010.7356,386.78
2010.7548,386.95
2010.774,386.84
2010.7932,387.43
2010.8123,387.83
2010.8315,388.05
2010.8507,387.96
2010.8699,388.63
2010.889,389.49
2010.9082,389.66
2010.9274,389.78
2010.9466,389.44
2010.9658,390.15
2010.9849,389.94
2011.0041,391.64
2011.0233,390.76
2011.0425,391.52
2011.0616,391.37
2011.0808,392.07
2011.1,391.44
2011.1192,391.65
2011.1384,392.05
2011.1575,392.06
2011.1767,391.88
2011.1959,392.49
2011.2151,392.89
2011.2342,394
2011.2534,393
2011.2726,393.08
2011.2918,393.55
2011.311,393.31
2011.3301,394.14
2011.3493,392.89
2011.3685,394.91
2011.3877,394.85
2011.4068,394.19
2011.426,393.49
2011.4452,393.79
2011.4644,393.54
2011.4836,393.45
2011.5027,393.5
2011.5219,393.29
2011.5411,391.32
2011.5603,391.98
2011.5795,391.19
2011.5986,390.6
2011.6178,390.14
2011.637,389.39
2011.6562,389.52
2011.6753,389.04
2011.6945,389.14
2011.7137,389.08
2011.7329,388.67
2011.7521,388.77
2011.7712,388.8
2011.7904,389.03
2011.8096,389.24
2011.8288,389.61
2011.8479,389.76
2011.8671,390.44
2011.8863,390.51
2011.9055,391.15
2011.9247,391.36
2011.9438,392.01
2011.963,392.35
2011.9822,392.2
2012.0014,392.96
2012.0205,393.37
2012.0396,392.97
2012.0587,393.34
2012.0779,393.24
2012.097,393.71
2012.1161,393.49
2012.1352,394.44
2012.1544,394.26
2012.1735,393.55
2012.1926,394.27
2012.2117,394.79
2012.2309,395.12
2012.25,395.32
2012.2691,396.62
2012.2883,396.16
2012.3074,396.61
2012.3265,396.92
2012.3456,397.12
2012.3648,396.99
2012.3839,396.12
2012.403,396.3
2012.4221,395.73
2012.4413,396.24
2012.4604,395.57
2012.4795,395.25
2012.4986,394.96
2012.5178,394.36
2012.5369,394.47
2012.556,394.08
2012.5751,393.43
2012.5943,393.24
2012.6134,392.49
2012.6325,391.36
2012.6516,391.79
2012.6708,391.86
2012.6899,390.91
2012.709,390.79
2012.7281,390.89
2012.7473,390.81
2012.7664,390.96
2012.7855,390.89
2012.8046,391.33
2012.8238,391.56
2012.8429,392.29
2012.862,393.26
2012.8811,393.16
2012.9003,393.71
2012.9194,393.64
2012.9385,394.4
2012.9577,394.53
2012.9768,394.84
2012.9959,394.5
2013.0151,395.34
2013.0342,395.98
2013.0534,395.78
2013.0726,395.77
2013.0918,396.63
2013.111,396.97
2013.1301,397.15
2013.1493,396.73
2013.1685,397.65
2013.1877,396.94
2013.2068,397.36
2013.226,397.96
2013.2452,398.07
2013.2644,397.76
2013.2836,397.96
2013.3027,399.2
2013.3219,399.53
2013.3411,399.52
2013.3603,399.74
