Ethnicity,2014,2015,2016,2017,2018,school
American Indian,0.28,0.25,0.26,0.25,0.21,A&M
Asian,5.61,6.03,6.43,7.1,7.83,A&M 
Black,3.34,3.63,3.78,3.59,3.39,A&M
Hispanic,20.92,22.14,22.78,23.52,24.24,A&M
Native Hawaiian,0.09,0.1,0.11,0.1,0.09,A&M
White,65.42,63.72,62.45,61.25,59.99,A&M
Multiple,2.54,2.48,2.47,2.55,2.59,A&M 
Unknown,0.22,0.18,0.16,0.15,0.17,A&M
International,1.59,1.48,1.55,1.48,1.49,A&M
American Indian,0.2,0.2,0.15,0.1,0.1,Texas 
Asian,16.2,17.2,17.8,19,19.7,Texas 
Black,3.8,3.9,3.94,4.2,4,Texas 
Hispanic,19.2,19.5,20,20.6,20.9,Texas 
Native Hawaiian,0.1,0.1,0.13,0.1,0.1,Texas
White,46.9,45.1,43.3,42.5,41.1,Texas 
Multiple,3.1,3.2,3.28,3.3,3.4,Texas 
Unknown,1,1.1,1.3,1.2,1.2,Texas 
International,9.5,9.7,10.1,9,10.1,Texas 
American Indian,0.3,0.3,0.3,0.32,0.36,Tech
Asian,2.4,2.4,2.4,2.66,2.94,Tech
Black,5.7,5.8,6,5.87,6.2,Tech
Hispanic,20.1,21,22.4,25.12,27.27,Tech
Native Hawaiian,0.1,0.1,0.1,0.09,0.08,Tech
White,59.6,58.5,57.5,55.1,53.96,Tech
Multiple,3,2.6,2.3,1.94,2.6,Tech
Unknown,0.8,0.9,0.5,0.6,0.09,Tech
International,8,8.4,8.5,8.3,6.5,Tech
American Indian,0.3,0.3,0.29,0.3,0.3,State 
Asian,2.2,2.4,2.31,2.6,2.6,State 
Black,8,8.7,9.3,10,10.6,State 
Hispanic,31.6,33.2,34.7,35.9,37.1,State 
Native Hawaiian,0.1,0.2,0.16,0.1,0.1,State 
White,51.7,49.7,48.1,46.8,45.3,State 
Multiple,3.2,3.3,3.35,2.6,2.2,State 
Unknown,1.5,0.8,0.48,0.4,0.5,State 
International,1.4,1.4,1.4,1.4,1.4,State 
